PNA;NAZWA INSTYTUCJI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
42-294;Zakład Ubezpieczeń Społecznych Oddział w Częstochowie;Częstochowa;gen. Jana Henryka Dąbrowskiego;43/45;Częstochowa;Częstochowa;śląskie
81-980;Zakład Ubezpieczeń Społecznych Oddział w Gdańsku, Inspektorat w Gdyni;Gdynia;Władysława IV;24;Gdynia;Gdynia;pomorskie
25-960;Zakład Ubezpieczeń Społecznych Oddział w Kielcach;Kielce;Piotrkowska;27;Kielce;Kielce;świętokrzyskie
75-840;Zakład Ubezpieczeń Społecznych Oddział w Koszalinie;Koszalin;Fałata Juliana;30;Koszalin;Koszalin;zachodniopomorskie
30-450;Zakład Ubezpieczeń Społecznych Oddział w Krakowie, Inspektorat Kraków - Podgórze;Kraków (Kraków-Podgórze);Zakopiańska;62;Kraków;Kraków;małopolskie
10-570;Zakład Ubezpieczeń Społecznych Oddział w Olsztynie;Olsztyn;Plac Konsulatu Polskiego;4;Olsztyn;Olsztyn;warmińsko-mazurskie
76-280;Zakład Ubezpieczeń Społecznych Oddział w Słupsku;Słupsk;pl. Zwycięstwa;8;Słupsk;Słupsk;pomorskie
70-769;Zakład Ubezpieczeń Społecznych Oddział w Szczecinie;Szczecin;Andre Citroëna;2;Szczecin;Szczecin;zachodniopomorskie
70-520;Zakład Ubezpieczeń Społecznych Oddział w Szczecinie;Szczecin;Jana Matejki;22;Szczecin;Szczecin;zachodniopomorskie
58-390;Zakład Ubezpieczeń Społecznych Oddział w Wałbrzychu;Wałbrzych;Kasztanowa;1;Wałbrzych;Wałbrzych;dolnośląskie
45-910;Zakład Ubezpieczeń Społecznych w Opolu;Opole;Wrocławska;24;Opole;Opole;opolskie
35-075;Zakład Ubezpieczeń Społecznych w Rzeszowie;Rzeszów;al. Józefa Piłsudskiego;12;Rzeszów;Rzeszów;podkarpackie
50-930;Zakład Ubezpieczeń Społecznych we Wrocławiu;Wrocław (Wrocław-Krzyki);Bernarda Pretficza;11;Wrocław;Wrocław;dolnośląskie
00-992;ZOMIS Sp. z o.o.;Warszawa (Praga-Północ);Jagiellońska;88;Warszawa;Warszawa;mazowieckie
60-908;ZUS I Oddział w Poznaniu;Poznań (Poznań-Jeżyce);Jana Henryka Dąbrowskiego;12;Poznań;Poznań;wielkopolskie
